address,maxClaimable,price
0x3462d4f128e214f09a5483ab2613fbf13cd4e57e,1,0.00
0x25d6c46e5fc6a3d619404c9ba5937c022b47ca58,1,0.00
0x6e5ec9db251b2a71a6f519a8b1710db38baf2358,1,0.00
0x9a7b6f4c57ae911c0cd7e4030198a5e182c3c91e,1,0.00
0xf2c7a8338ac3bf15fe183e14b0e3f32b8e423608,1,0.00
0xfebb9b7fdc16c492cba34132b92b57e89f8da91e,1,0.00
0x33e3c007d1d48e2b645c9ce22570267b0c82f578,1,0.00
0x39f15a35b3c42546e6c96b96a91c63362b1f3137,1,0.00
0x57ae3756f8249538d6ff275bde61a4a1a34fd56e,1,0.00
0x362458a1fb4679d81185c4e7c2480e0cee82c9fa,1,0.00
0x7fa94b6a37dd6f2e12f85360fe72a50d96967406,1,0.00
0x04f5df957ce0405ba0264eca6130161cfaa12571,1,0.00
0x3782a826a0c2657b9aebfa980245f7d76c312907,1,0.00
0x0d22589f424d5708f4dc82d19b6218838dbb0893,1,0.00
0x175446bf0f5feef2635de5123fe837bbe6c20ce2,1,0.00
0x270c67de1419fc9346170df86043e690623c39a9,1,0.00
0x9934c1269a94a09cfacb1f123fe8660cffd0d55b,1,0.00
0x31842c600d124e9eb13f6562dd6b4fde36a0f2fb,1,0.00
0x42e7a4bde4fd9a1ac943371db4a450be6729b895,1,0.00
0x7feac0b5037181c8aa461a070ea92e9437fb12dd,1,0.00
0x6438c1320613bf81c07c87ebc8db5935c4aa8014,1,0.00
0xb63e5b13f543944d3f5f56e51e84d07b7b9e547d,1,0.00
0x89e12425d3edd174bab9a8677d3bca8b7f34f1ab,1,0.00
0xe88a0d2a5062d09d085dc8f2adcb6e93bf64e1dd,1,0.00
0x997d3b39d16fc66102d1f925c0c7dcf0957e542e,1,0.00
0x2e95e6d58d7bdf9c79f52bdde239148c302798f7,1,0.00
0x33f65a03ab59d2e4c81e6e2b9c4870c7026d1950,1,0.00
0x556eef23d8b28498b4d98ed874a57c40e2cef3f0,1,0.00
0x04367069687b282817af644266fb3d59bc4d8043,1,0.00
0x619bd91f9a5f2b33914cebe5bc76746534fcd402,1,0.00
0x8cc30992c17d08d3a3ee6b232b26381db99c9531,1,0.00
0x30d26d80ff203118f141eb096698a7a16198c157,1,0.00
0xfbd6b76704f94c2682b749a02c36f320dd56fe90,1,0.00
0x9ee4b5d243542eb6bb5edd2f01cf9af69b8c136b,1,0.00
0x41af64957cae30e90bcb2f15227c45bac0b1b3d0,1,0.00
0xacfea7811f05cb7b164cc65afb122b460c64efda,1,0.00
0x720b851bbebd76740c5af9fca4aa990917d457f8,1,0.00
0x26d46ffe6a687838edf80e693f651d85f61dda71,1,0.00
0x20da700ea03e9fe8bf3409d6f66105184aefb2fc,1,0.00
0x188f92acd1a82b54ce713cafa8e8217c1089230c,1,0.00
0xfdcfe235ffeea047c7312de9935f03f4ed06736f,1,0.00
0x1f2a9082a7692ad4f1049b573313c52e49400137,1,0.00
0x084781f088fb8df6b003fffa33b231390fc52085,1,0.00
0x9af685b870059924444f5ecb2bcbf9e4687a4ae4,1,0.00
0x9e7944295bd2a337e16b938fc9ac69d9605dec1c,1,0.00
0x62670912d2041fadf9e0e948651cf747039483a8,1,0.00
0xceb83ea1af181fe28480d4ffba7d7173d467a3ba,1,0.00
0x4e2c8e02661ba1bb37627aaa7e0926c1738643f4,1,0.00
0xca2fb497d84deded064dc4ae5c1d6fec4a9a3f76,1,0.00
0x74ea605483c27ba79542854687edf70fd197cc92,1,0.00
0xb05e679b9f5c3b00884269ae23e002bfa933c670,1,0.00
0x550ce842b5b5873333a150ba5db22352071bde7e,1,0.00
0xd94b77cfe77e272c23b6056d376a50359e74466a,1,0.00
0xbd8dc884d6f5c5eb8fcb42dabca528db1a293168,1,0.00
0xc6c210e56f7e146883dcde3a99233fbc86803fc3,1,0.00
0x856752d9c4a4e90f87646ee8f97b5fd2d8b091aa,1,0.00
0x5d89c8f9af36733d15c170a25f45ac0e90d24a16,1,0.00
0xb2bd6278ac4d380cb90da645a591138292ce7a93,1,0.00
0x601be6fa3a454cb4db278fb383d90ed09051471a,1,0.00
0x61a13423d2f0c8cb01dfebf34bf7227318189ae0,1,0.00
0x91430a1900baf381161d81428fbd879c1c8f6af8,1,0.00
0x2e1a60d331b4d06827d3edf880207695dce1c0e7,1,0.00
0x50fb3b80668c86047526ab948f0ef49beeadb17a,1,0.00
0x9c7277d5f433544628aaff7e6a6475b9d795dc1d,1,0.00
0x4eee8ba6724ca5cec0e1433b9f613936c774b9f5,1,0.00
0x408130934adce05d82d8dc3706e29d02d91cf886,1,0.00
0xf5cd68a45d8fa32562382899cdcfea8f5d977a6c,1,0.00
0x3280f5a0ec3053fec7e1c7a0bacceb8261c61ace,1,0.00
0x23a0e6be2f1fa443ac84080d5ccb79fe6a33ee05,1,0.00
0x0a96ddd0c6a78a8ac866447480c3837c6f90e2f4,1,0.00
0xa1f52d3c0593c9d4234326841a72ba4032e5c8ed,1,0.00
0xc5e8a236f1162e6b4d0ab95a96151c1a00536dc4,1,0.00
0x8c46219208e117c4488a4a4d601645d73205a304,1,0.00
0x4733a74d6794e9045c32805391eb1f959d149e6e,1,0.00
